step,rg2,perim,cycles,asph,movfrac
2000,1313.908016,1228,50,0.098165,0.2031
4000,1375.905414,1218,67,0.226078,0.2578
6000,1343.957715,1230,73,0.317644,0.2188
8000,1349.270150,1220,62,0.308095,0.3125
10000,1137.104215,1220,73,0.139895,0.2578
12000,1604.287900,1226,59,0.158872,0.2891
14000,1520.286350,1215,66,0.122280,0.3594
16000,1379.872382,1217,64,0.243491,0.3281
18000,1404.360755,1180,74,0.241755,0.2734
20000,1122.940878,1194,81,0.201330,0.2969
22000,1049.214915,1197,81,0.035323,0.2891
24000,1311.549248,1191,84,0.397367,0.3672
26000,1583.465950,1166,88,0.535609,0.3516
28000,1037.046531,1200,82,0.274300,0.3359
30000,1902.320396,1180,69,0.700252,0.2578
32000,2003.786131,1204,68,0.803437,0.2812
34000,1171.088771,1179,71,0.385456,0.2266
36000,1838.412798,1186,88,0.700155,0.3125
38000,1356.992987,1180,77,0.689363,0.3359
40000,1496.170360,1200,58,0.734537,0.2969
42000,1405.170582,1199,68,0.629806,0.3594
44000,1080.040942,1183,86,0.175286,0.2656
46000,1402.929435,1162,86,0.582702,0.2734
48000,1053.599271,1182,72,0.277927,0.3281
50000,1429.248507,1177,70,0.340977,0.3359
52000,1022.042735,1173,77,0.023088,0.3516
54000,1070.628368,1189,70,0.004074,0.2891
56000,900.881987,1184,81,0.031694,0.2891
58000,1068.496767,1190,79,0.033149,0.3984
60000,1303.375542,1190,74,0.152881,0.2734
62000,1237.753675,1212,66,0.028286,0.2891
64000,1443.198524,1215,65,0.083096,0.2812
66000,1332.587324,1211,69,0.353025,0.2500
68000,1265.063335,1232,62,0.317901,0.2891
70000,1136.961200,1228,58,0.100268,0.3281
72000,1284.036259,1216,58,0.424638,0.3047
74000,1024.856475,1195,70,0.216197,0.3125
76000,1065.914635,1198,73,0.275274,0.2422
78000,1269.674672,1190,91,0.461807,0.2891
80000,1177.424455,1194,76,0.388464,0.2812
82000,1134.778470,1210,76,0.395518,0.2734
84000,1277.683455,1220,65,0.577030,0.2188
86000,1044.874647,1226,64,0.220003,0.1875
88000,1008.546428,1204,62,0.316623,0.3047
90000,1148.787404,1188,78,0.165326,0.2578
92000,1055.404383,1208,72,0.195941,0.2812
94000,1131.314892,1206,75,0.165003,0.2578
