step,rg2,perim,cycles,asph,movfrac
100000,377200.201089,119066,7547,0.031270,0.2812
200000,351977.401491,119110,7456,0.115543,0.3047
300000,322415.450403,119246,7333,0.014228,0.2969
400000,297314.635275,119223,7398,0.019256,0.2812
500000,320522.136142,119237,7374,0.057519,0.3047
600000,316479.472484,119267,7293,0.009110,0.3750
700000,323237.854815,119131,7368,0.014651,0.2500
800000,314682.917355,119178,7409,0.006081,0.2812
900000,301772.419498,119272,7427,0.000467,0.2734
1000000,310733.870805,119165,7464,0.009133,0.2812
1100000,396050.326268,119393,7326,0.057564,0.3359
1200000,302778.403752,119265,7268,0.333211,0.3359
1300000,297147.854005,119268,7231,0.266628,0.3438
1400000,267390.681524,119253,7282,0.206117,0.4062
1500000,265360.153727,119397,7135,0.200524,0.3438
1600000,274012.486868,119416,7161,0.233162,0.2969
1700000,275452.606210,119497,7219,0.278861,0.2500
1800000,269139.242107,119380,7320,0.239746,0.2578
1900000,264364.369690,119495,7345,0.220710,0.2656
2000000,253287.415938,119400,7374,0.192975,0.3125
2100000,252028.306954,119391,7313,0.179050,0.3281
