step,rg2,perim,cycles,asph,movfrac
50000,3379491.286367,478258,29073,0.667621,0.3281
100000,2909811.738749,478323,29051,0.584868,0.2969
150000,3145625.727156,478340,29014,0.630717,0.3359
200000,2783467.391369,478249,29163,0.547850,0.2891
250000,2920158.862055,478229,29193,0.549085,0.2500
300000,2871205.076572,478435,29051,0.550497,0.2891
350000,2843147.793056,478345,29030,0.547338,0.3125
400000,2844613.150753,478183,29152,0.544326,0.3359
450000,2824577.911930,478277,29138,0.532423,0.3125
500000,2760905.317772,478275,29174,0.513316,0.1719
550000,2741096.369251,478189,29134,0.509733,0.2812
600000,2754608.584861,478075,29225,0.498765,0.3125
650000,2733019.409557,478017,29222,0.485299,0.2969
700000,2603815.746038,477876,29404,0.487946,0.3281
750000,2355100.165774,477872,29485,0.464359,0.3125
800000,2378575.879122,477905,29496,0.493626,0.3438
850000,2379620.879191,478067,29388,0.485316,0.2266
900000,2398795.318679,478064,29240,0.491369,0.2109
950000,2395949.585006,477943,29339,0.496277,0.3359
1000000,2145186.827267,477944,29203,0.218545,0.2969
1050000,2069475.582726,477774,29187,0.134683,0.2812
1100000,1811783.008704,477731,29310,0.098886,0.3359
1150000,2482227.535278,477722,29169,0.387422,0.2891
1200000,2326155.355467,477693,29145,0.230523,0.2969
