step,rg2,perim,cycles,asph,movfrac
50000,2698207.894177,477937,29374,0.107316,0.3047
100000,2991860.139421,477939,29408,0.222273,0.2578
150000,3506637.330686,477991,29489,0.242995,0.3594
200000,2665719.884945,478013,29347,0.165773,0.3984
250000,3814855.823397,477804,29392,0.687573,0.1875
300000,2459091.200000,477840,29323,0.536696,0.2891
350000,2290510.764591,477754,29271,0.296291,0.3047
400000,3847845.750069,477685,29253,0.698643,0.3125
450000,3452249.050975,477817,29176,0.551393,0.3438
500000,3435172.301185,477898,29255,0.552128,0.2344
550000,3124784.754729,477954,29157,0.555343,0.2812
600000,3126839.269062,477770,29215,0.554396,0.1719
650000,2899553.906186,477969,29193,0.382971,0.2656
700000,3023307.281280,477818,29323,0.462358,0.3516
750000,3140642.401338,477764,29396,0.530613,0.3047
800000,3452568.200353,477680,29456,0.523119,0.2969
850000,3534320.663008,477743,29412,0.343451,0.2500
900000,2821026.163848,477876,29146,0.391641,0.3203
950000,2836933.697695,477935,29179,0.396118,0.2500
1000000,2278581.006479,478025,29122,0.316585,0.3750
1050000,3075662.064071,477926,29085,0.351551,0.3359
1100000,3544629.374107,477856,29154,0.712544,0.3516
1150000,2841777.449728,477837,29113,0.439795,0.3516
1200000,2973540.905949,477865,29073,0.549159,0.2578
1250000,3007109.052559,477956,28995,0.581278,0.3594
1300000,3617868.653644,477967,28967,0.705613,0.3203
1350000,3073099.282039,477993,29029,0.638227,0.3125
1400000,3325814.146782,478036,29026,0.490669,0.2969
1450000,3631042.164124,477990,28909,0.586602,0.2578
1500000,3619660.056407,478006,28867,0.586247,0.2969
1550000,2116650.030790,477909,29055,0.011951,0.2578
1600000,4639519.363771,477973,28939,0.754774,0.2656
1650000,4442177.007402,477923,29103,0.799101,0.3125
1700000,3726208.960008,477864,29255,0.499223,0.2734
1750000,4284174.003573,477889,29219,0.762541,0.2656
1800000,4514130.863141,477781,29186,0.714722,0.3203
1850000,2268912.423032,477814,29111,0.237389,0.3125
1900000,2234023.098698,477945,29088,0.238303,0.2969
1950000,3590730.985416,477983,29121,0.659349,0.2344
2000000,3624842.165792,477949,29047,0.648339,0.2969
2050000,2245500.773305,477744,29163,0.061495,0.3438
2100000,3935556.200713,477762,29220,0.612030,0.2812
2150000,3235802.512825,477649,29256,0.388183,0.2578
2200000,3164625.537314,477687,29213,0.181764,0.2422
2250000,3196510.690553,477563,29238,0.397485,0.3125
2300000,2732468.639154,477602,29230,0.412982,0.3047
2350000,2669037.280197,477621,29148,0.452967,0.2266
2400000,2997236.480924,477560,29199,0.569627,0.2812
2450000,3000056.919789,477707,29134,0.569699,0.3594
2500000,3161834.122069,477624,29187,0.659241,0.2734
2550000,3641889.277629,477562,29241,0.741243,0.2969
2600000,3210151.570154,477799,29145,0.584007,0.2891
2650000,2872001.426486,477656,29235,0.517921,0.2812
2700000,2751639.857933,477665,29246,0.473815,0.3516
2750000,2991712.840760,477490,29239,0.678716,0.3281
2800000,2752164.749910,477520,29163,0.473249,0.2578
2850000,2749575.490009,477683,29087,0.509159,0.2656
2900000,2746426.863496,477684,29056,0.509172,0.2422
2950000,2747411.880769,477708,28944,0.507988,0.2656
3000000,2752235.902366,477585,28919,0.509251,0.2656
3050000,4004870.865294,477600,28986,0.780193,0.2344
3100000,4169093.012444,477690,28977,0.684279,0.3203
3150000,3800703.480129,477783,28860,0.466776,0.3281
3200000,2979508.377068,477801,28960,0.472279,0.2891
3250000,2867659.607850,477695,29161,0.484205,0.2344
3300000,1746637.225286,477615,29177,0.073608,0.2734
3350000,1745376.461645,477624,29181,0.073858,0.3203
3400000,3466293.264603,477573,29165,0.613745,0.3047
3450000,3547993.647336,477593,29150,0.576306,0.2891
3500000,3230170.623024,477630,29067,0.407440,0.3438
3550000,3186053.878284,477536,29201,0.410284,0.2812
3600000,3291027.557038,477590,29187,0.436802,0.3047
3650000,2013966.561394,477431,29340,0.021144,0.2656
3700000,3785888.306403,477393,29363,0.402995,0.2734
3750000,3746942.999444,477239,29344,0.491920,0.3281
3800000,3391260.290588,477222,29449,0.585269,0.3125
3850000,3445010.818551,477347,29433,0.602736,0.3203
