step,rg2,perim,cycles,asph,movfrac
50000,3126259.730775,477925,29446,0.175121,0.3047
100000,2653563.930118,477769,29472,0.134949,0.2500
150000,3650996.911142,477847,29417,0.539981,0.2734
200000,2284529.282015,477960,29366,0.216654,0.3281
250000,1689457.035621,477899,29272,0.019626,0.2500
300000,2333971.543367,477879,29189,0.152750,0.2969
350000,2595958.432197,477782,29106,0.241663,0.2656
400000,3000627.257212,477798,28955,0.237470,0.2969
450000,3768257.430418,477734,28995,0.421807,0.3359
500000,2691410.417358,477762,29023,0.271990,0.2188
550000,1919947.902004,477748,29009,0.128142,0.3438
600000,3184950.159971,477714,28949,0.210541,0.2344
650000,3341873.075245,477675,28910,0.237757,0.3203
700000,2324888.054017,477669,28916,0.028245,0.3203
750000,3346619.225730,477432,29135,0.178618,0.3281
800000,2740623.250536,477543,29112,0.054646,0.3125
850000,3103412.316246,477422,29199,0.229904,0.2812
900000,3138837.970659,477450,29288,0.240551,0.3203
950000,3006792.347718,477404,29293,0.399473,0.3203
1000000,4189674.838441,477516,29238,0.673952,0.2734
1050000,3004092.280094,477410,29273,0.570827,0.2812
1100000,2984701.093202,477389,29170,0.571265,0.3516
1150000,3403691.229252,477346,29328,0.632730,0.2969
1200000,3257060.196801,477484,29379,0.494871,0.2891
1250000,3780559.565713,477537,29449,0.652504,0.2500
