step,rg2,perim,cycles,asph,movfrac
100000,11487374.212307,1800499,137602,0.359747,0.3125
200000,11487411.829491,1800767,137649,0.359294,0.3047
300000,11555670.755020,1800899,137641,0.363468,0.4062
400000,10167431.978271,1801371,137632,0.237077,0.3281
500000,10168837.060707,1801772,137434,0.237267,0.3594
600000,10097769.186185,1802385,137320,0.233940,0.3047
700000,10102405.739384,1802907,137219,0.233623,0.3125
800000,9482142.721733,1803367,137223,0.087055,0.3516
900000,8936093.060906,1803607,137198,0.171576,0.2969
1000000,11485525.779114,1804206,136878,0.217714,0.3906
1100000,11484799.960018,1804815,136834,0.218101,0.2656
1200000,12762183.280402,1805046,136843,0.381846,0.3672
1300000,12738561.424405,1805267,136753,0.382903,0.3047
1400000,14236459.695604,1805709,136597,0.524123,0.3203
1500000,13780176.216432,1806067,136513,0.662577,0.3750
1600000,13783254.177162,1806641,136341,0.662663,0.2812
1700000,13753757.985528,1806937,136403,0.662784,0.2422
1800000,13025849.791095,1807397,136360,0.631791,0.3672
1900000,11316620.270579,1807785,136164,0.341175,0.2812
2000000,10767297.005094,1808067,136100,0.361723,0.3125
2100000,10765998.177566,1808011,136303,0.362330,0.3594
2200000,11288131.784158,1808653,136057,0.360694,0.3516
2300000,11289832.705598,1809209,135605,0.360170,0.3516
2400000,10182861.888110,1809689,135537,0.458028,0.3516
2500000,11173566.612177,1809992,135463,0.454166,0.3125
2600000,11175447.746258,1810517,135195,0.454200,0.3125
2700000,10551408.026529,1810852,134957,0.236022,0.4219
2800000,9567247.174741,1810755,135131,0.108501,0.2891
2900000,9562680.267785,1811309,134849,0.108252,0.4141
3000000,9593948.379905,1811698,134770,0.112225,0.3828
3100000,8489488.345699,1812123,134711,0.129794,0.3281
3200000,8468940.140586,1812147,134776,0.117170,0.3047
