step,rg2,perim,cycles,asph,movfrac
50000,1501701.501970,470718,30120,0.038948,0.2734
100000,1491809.519239,470762,30094,0.033117,0.3438
150000,1493883.815366,470759,30106,0.029919,0.3516
200000,1511516.600212,470675,30073,0.035593,0.2734
250000,1504491.172616,470708,30184,0.032650,0.2656
300000,1504909.498071,470870,30129,0.032902,0.3203
350000,1627632.457269,470814,30245,0.019783,0.3750
400000,1454414.256247,470791,30360,0.033647,0.2969
450000,1454739.756089,470773,30388,0.033519,0.2500
500000,1420775.759292,470969,30361,0.043799,0.2188
550000,1428353.024302,471082,30407,0.038882,0.2734
600000,1412518.230030,471067,30396,0.044066,0.3359
650000,1413710.498722,471043,30345,0.044715,0.2656
700000,1624418.484413,471195,30376,0.072551,0.3594
750000,1332941.253021,471252,30338,0.010802,0.2422
800000,1338472.617595,471063,30450,0.012031,0.3516
850000,1523033.738886,471088,30362,0.014499,0.3828
900000,1266759.292972,470960,30300,0.026910,0.2891
950000,1468821.499528,470973,30332,0.051253,0.3203
1000000,1360411.378825,470933,30428,0.077833,0.3281
1050000,1266959.990794,471065,30383,0.106975,0.3750
1100000,1262720.977990,471081,30458,0.105983,0.2656
1150000,1264073.974646,471006,30421,0.106011,0.2812
1200000,1263650.199965,470928,30497,0.106810,0.2969
1250000,1427491.155121,470839,30578,0.021071,0.3203
1300000,1752171.151973,470902,30593,0.116767,0.3203
1350000,1752299.229885,470886,30473,0.118811,0.2812
1400000,1640342.839769,470957,30484,0.087563,0.2188
1450000,1578700.870750,470971,30465,0.147798,0.2734
1500000,1566363.529178,470977,30385,0.049941,0.3516
1550000,1708140.221405,470954,30335,0.102423,0.3047
1600000,1578586.779274,471032,30327,0.158310,0.2969
1650000,1571365.471383,470994,30341,0.024413,0.3047
1700000,1604895.340421,471171,30284,0.042983,0.3203
1750000,1743805.423374,471176,30371,0.059744,0.2422
1800000,2074966.409615,471272,30451,0.198072,0.3281
