step,rg2,perim,cycles,asph,movfrac
50000,2483687.887197,477886,28997,0.439205,0.3047
100000,2634525.695049,477847,29001,0.434753,0.3203
150000,3137053.515407,478002,28946,0.673963,0.3281
200000,3719982.866204,477892,29010,0.747614,0.2891
250000,3475306.956046,477953,28997,0.811408,0.3047
300000,4001062.172658,477933,28993,0.801334,0.2969
350000,4228766.478375,478088,28982,0.591407,0.2812
400000,2554718.572327,478115,28918,0.233257,0.2734
450000,3364881.826302,478091,28878,0.503783,0.3203
500000,3411578.770705,478096,28923,0.454698,0.3125
550000,3831139.361849,478047,28964,0.771424,0.3984
600000,3374663.052169,478043,29032,0.757000,0.3203
650000,3346969.002134,478162,28894,0.494926,0.3047
700000,3372392.158860,478159,28797,0.409556,0.3438
750000,4175175.387663,478116,28787,0.673689,0.3359
800000,4743764.179458,478194,28781,0.637757,0.2656
850000,4617805.908367,478210,28873,0.627877,0.3203
900000,4587121.024871,478019,29064,0.654000,0.3281
950000,3310483.164085,478115,28973,0.342129,0.3281
1000000,3303436.998184,478118,28991,0.332934,0.1953
1050000,3304746.125025,478014,28950,0.331739,0.2969
1100000,3308648.950977,478095,28896,0.332554,0.2578
1150000,3314222.937699,478151,28859,0.332887,0.2656
1200000,2999884.250318,478307,28900,0.473369,0.3359
1250000,3013323.718601,478285,28935,0.478227,0.2969
1300000,2963188.302457,478306,29009,0.473802,0.2812
1350000,2413883.716667,478255,28913,0.132226,0.2734
1400000,3840738.471345,478094,29103,0.631807,0.3516
1450000,2893931.933684,478177,29001,0.366087,0.2891
1500000,2927150.007559,478131,29065,0.557641,0.2969
1550000,2836860.230139,478202,29054,0.498572,0.3359
1600000,2971098.888072,478046,29059,0.372952,0.3672
1650000,2811091.039733,478028,29140,0.290820,0.3828
1700000,2817395.730659,478031,29114,0.291891,0.2812
1750000,3575902.379829,477909,29102,0.491011,0.3203
1800000,3522537.236326,477807,29087,0.507288,0.2812
1850000,3526151.739016,477757,29114,0.497549,0.2422
1900000,3096620.902218,477760,29084,0.355024,0.2656
1950000,3096077.597468,477631,29129,0.357474,0.2422
2000000,2069958.821185,477684,29121,0.100839,0.2578
2050000,2961400.663271,477697,29160,0.554636,0.3125
2100000,3126552.690568,477701,29145,0.565229,0.3438
2150000,2979126.716428,477670,29192,0.602248,0.2188
2200000,3349754.509384,477669,29226,0.580336,0.3359
2250000,3327243.220736,477729,29246,0.581030,0.3281
2300000,3229916.281054,477591,29304,0.576904,0.2812
2350000,3262718.844878,477618,29248,0.595603,0.3438
2400000,2891212.991441,477556,29136,0.637341,0.3047
2450000,3939858.436718,477636,29101,0.842847,0.2734
2500000,3209991.827970,477630,29182,0.652891,0.2656
2550000,3709037.464192,477771,29127,0.692279,0.2578
2600000,3580568.595109,477877,29097,0.501446,0.3359
2650000,3847757.510432,477854,29155,0.598252,0.3047
2700000,2986132.511482,477511,29233,0.382935,0.2969
2750000,2922157.921925,477445,29110,0.248766,0.3594
2800000,2275052.861546,477625,28990,0.449629,0.3047
2850000,2263596.054368,477782,28887,0.442735,0.2500
2900000,3199623.264122,477732,28981,0.407224,0.2812
2950000,1746376.837108,477881,28887,0.116621,0.2734
3000000,1741775.480675,477733,28880,0.113563,0.2656
3050000,2021988.496048,477794,29005,0.038121,0.2891
3100000,2643504.755194,477810,29084,0.315444,0.3203
3150000,2774573.466050,477811,29124,0.460741,0.3281
3200000,3534211.433827,477717,29171,0.467895,0.2969
3250000,2434349.218334,477669,29119,0.087380,0.2578
3300000,3701639.622199,477657,29076,0.691994,0.3047
3350000,3932940.837171,477732,29054,0.778824,0.3359
3400000,4333442.324753,477733,29101,0.716860,0.2891
3450000,2149133.002285,477686,29180,0.113804,0.2656
3500000,3336316.583175,477602,29155,0.296516,0.2891
3550000,2527039.247799,477721,29064,0.153465,0.2500
3600000,3152946.271945,477796,29087,0.594061,0.2656
3650000,3449012.448822,477888,28984,0.395118,0.3281
3700000,3352724.535131,477823,29061,0.508486,0.3359
3750000,2018758.839597,477836,29097,0.091430,0.3047
3800000,2160583.282151,477810,29025,0.376193,0.2188
3850000,4119516.878855,477808,28979,0.593921,0.1875
3900000,4081623.309041,477674,29089,0.664266,0.2812
