step,rg2,perim,cycles
8800000,36920.889226,99342,10911
8850000,36945.546257,99358,11020
8900000,36965.716975,99562,11012
8950000,37051.538361,99567,10824
9000000,37024.644276,99767,10603
9050000,37092.752514,99960,10546
9100000,37177.042129,100033,10706
9150000,37229.991422,100153,10664
9200000,37259.333145,100338,10683
9250000,37316.624964,100448,10566
9300000,37382.363009,100486,10581
9350000,37402.273693,100605,10534
9400000,37461.745689,100696,10623
9450000,37486.145545,100677,10565
9500000,37538.904171,100729,10543
9550000,37524.619434,100589,10547
9600000,37541.122667,100731,10620
9650000,37618.892113,100704,10739
9700000,37609.878449,100987,10520
9750000,37610.056234,101027,10501
9800000,37709.841308,101197,10418
9850000,37728.070973,101147,10384
9900000,37757.821408,101300,10491
9950000,37765.601842,101277,10522
10000000,37881.204981,101334,10563
10050000,37985.207318,101292,10573
10100000,38006.038255,101428,10401
10150000,38043.404213,101401,10363
10200000,38034.518881,101585,10307
10250000,38050.893128,101558,10436
10300000,38070.487171,101717,10386
10350000,38150.879940,101790,10499
10400000,38146.758874,101862,10476
10450000,38285.885229,101875,10284
10500000,38356.311425,101868,10456
10550000,38282.008331,102023,10378
10600000,38368.830877,101979,10382
10650000,38417.962774,102014,10306
10700000,38494.320668,102419,10219
10750000,38552.549150,102417,10244
10800000,38885.681125,102385,10206
10850000,39374.591835,102569,10157
10900000,39312.664932,102567,10271
10950000,39405.051943,102638,10333
11000000,39487.697205,102664,10239
11050000,39489.849654,102846,10167
11100000,39501.161126,103038,10174
11150000,39546.741627,103144,10172
11200000,39611.642927,103294,10058
11250000,40442.531839,103432,9923
11300000,40443.302621,103302,10035
11350000,40440.161502,103272,10080
11400000,40428.454559,103436,9978
11450000,40462.290750,103339,10076
11500000,40548.049176,103458,10098
11550000,40595.086668,103528,10084
11600000,40714.802145,103680,9894
11650000,40716.416937,103797,9979
11700000,40756.364437,103993,10022
11750000,40785.517821,103953,9870
11800000,40885.979832,104085,9849
11850000,40937.298278,104251,9860
11900000,40926.411618,104216,9856
11950000,40975.736806,104262,9856
12000000,41072.766894,104452,9709
12050000,41102.650076,104502,9800
12100000,41183.192329,104663,9688
12150000,41246.974629,104585,9919
12200000,41287.752397,104735,9848
