step,rg2,perim,cycles,asph,movfrac
50000,2817063.010677,477694,29081,0.436887,0.3125
100000,2851824.665891,477712,29089,0.499806,0.3125
150000,3320479.771731,477786,29101,0.691488,0.2656
200000,2776775.217487,477835,29050,0.278583,0.3750
250000,2644702.279986,477907,28941,0.202946,0.3125
300000,2546627.692027,477922,28969,0.116334,0.2969
350000,3184679.151353,477929,28982,0.517438,0.3828
400000,3193938.398233,477949,28954,0.515188,0.3203
450000,3188473.602472,477895,28942,0.510123,0.3281
500000,3310206.386553,477803,28981,0.590055,0.2812
550000,3162979.926729,477677,28951,0.508866,0.2891
600000,3310134.522628,477609,29025,0.505105,0.2422
650000,3322273.661198,477590,29044,0.503625,0.2891
700000,3470206.681471,477475,29083,0.530823,0.2109
750000,3479124.731445,477535,29011,0.709198,0.2812
800000,3503529.707597,477595,29101,0.604361,0.3984
850000,3267526.010048,477648,29065,0.611933,0.2812
900000,2670692.120583,477587,29039,0.484572,0.2969
950000,3150468.896497,477466,29038,0.654769,0.3750
1000000,2729906.084136,477504,29056,0.531002,0.3906
1050000,3926442.285792,477511,29113,0.814364,0.3125
1100000,3790236.579520,477441,29048,0.805482,0.2656
1150000,2594745.987033,477447,28935,0.204023,0.2266
1200000,2528366.387940,477369,28942,0.272291,0.3203
1250000,1841709.788128,477395,28907,0.132442,0.2969
1300000,3553206.939637,477363,28944,0.815197,0.3438
1350000,3578861.975748,477284,29034,0.819284,0.2188
1400000,3919602.991032,477108,29036,0.795651,0.2188
1450000,2552032.064824,477125,29140,0.140896,0.3125
1500000,1618962.188478,476903,29182,0.031468,0.3047
1550000,1559173.044439,476803,29290,0.014955,0.3203
1600000,2599598.887110,476889,29209,0.584893,0.2891
1650000,2892932.367757,476943,29085,0.517498,0.2891
1700000,3104168.516382,476945,29184,0.521673,0.3281
1750000,3175501.091547,477060,29234,0.204460,0.2812
1800000,1737154.341849,477014,29135,0.129085,0.3359
1850000,1677647.982349,476980,29181,0.124218,0.3125
1900000,1892996.818877,476869,29166,0.167530,0.3203
1950000,1886318.515755,476841,29241,0.170375,0.2734
2000000,3809932.805196,476859,29197,0.525659,0.3125
2050000,2932904.435972,476787,29291,0.384128,0.2578
2100000,2790709.348850,476761,29392,0.453152,0.2500
2150000,3573253.717315,476967,29259,0.723083,0.2969
2200000,2292430.397252,476830,29325,0.248065,0.2734
2250000,3738159.090824,476870,29319,0.311481,0.2422
2300000,3894328.850695,476989,29277,0.424299,0.3359
2350000,2860350.363689,477086,29199,0.309082,0.3438
2400000,1814819.579038,477010,29232,0.003743,0.2969
2450000,2939289.765043,477019,29231,0.459554,0.3047
2500000,3709921.528221,477054,29271,0.648269,0.3203
2550000,2927776.370191,477147,29271,0.088092,0.2578
2600000,3707573.401536,477281,29139,0.662831,0.3438
2650000,4964833.122149,477354,29116,0.855818,0.3047
2700000,4885898.334492,477217,29139,0.856850,0.3203
2750000,4598664.214226,477224,29134,0.810767,0.2422
2800000,4254519.555305,477154,29081,0.839808,0.2578
2850000,3969698.975268,477106,29106,0.560810,0.2812
2900000,4316037.200245,477044,29054,0.614071,0.2734
2950000,4126091.371723,477076,29035,0.671195,0.3516
3000000,3957626.803914,477092,29063,0.704066,0.2969
3050000,2789102.680264,477115,29084,0.517905,0.3281
3100000,2791878.888345,477371,28986,0.520761,0.3594
3150000,2991969.607410,477511,28918,0.403883,0.3516
3200000,3418383.448106,477447,28919,0.392917,0.2031
3250000,3414095.312634,477370,28977,0.395462,0.2500
3300000,3082786.667739,477430,29092,0.438853,0.2891
3350000,2722285.696851,477301,29135,0.055488,0.3047
3400000,3513794.657838,477346,29161,0.347795,0.2188
3450000,2669186.112432,477291,29279,0.054771,0.2891
3500000,3322127.428164,477222,29306,0.110166,0.3516
3550000,3323313.120253,477119,29300,0.109159,0.2891
3600000,4275515.529275,477203,29197,0.664746,0.3516
3650000,3751164.941796,477166,29100,0.464166,0.3125
