step,rg2,perim,cycles,asph,movfrac
50000,3664912.858805,477944,29077,0.627745,0.2734
100000,3678282.290761,477999,29101,0.637194,0.3594
150000,4025737.461994,478064,29063,0.402578,0.3047
200000,4690356.926424,478118,28995,0.806190,0.3750
250000,4673158.278920,478158,28980,0.778949,0.3359
300000,5188322.450757,478119,29015,0.884772,0.2891
350000,4875435.174692,477987,28964,0.751700,0.2812
400000,3822349.228661,478128,28870,0.660121,0.3125
450000,2940024.867731,478138,28897,0.103607,0.2812
500000,3977297.243274,478055,28935,0.666433,0.2734
550000,3597563.795436,477886,28972,0.512388,0.3047
600000,2801025.398252,478002,28903,0.110213,0.2500
650000,3038071.123746,477788,29050,0.155563,0.2656
700000,4339020.140107,477817,29037,0.685732,0.3984
750000,3387686.679724,477844,29068,0.369504,0.3828
800000,4046921.716956,477874,29069,0.630499,0.2500
850000,3312034.709530,477975,28981,0.183654,0.3125
