step,rg2,perim,cycles,asph,movfrac
50000,2964924.858121,475402,29629,0.570183,0.2891
100000,3401175.024246,475568,29439,0.675768,0.2969
150000,2808293.768802,475417,29524,0.495527,0.2344
200000,2783328.389433,475503,29581,0.487893,0.2500
250000,2716734.015108,475314,29670,0.447019,0.3281
300000,2716190.462833,475270,29590,0.448497,0.3125
350000,2945982.633583,475095,29600,0.442749,0.2891
400000,3114369.531601,474973,29573,0.446303,0.2734
450000,3192019.965369,475070,29685,0.519486,0.2812
500000,3226404.617607,474849,29717,0.542466,0.3672
550000,2312977.456280,474812,29766,0.154742,0.2734
600000,2714364.221199,475095,29592,0.459360,0.3281
650000,2693711.935204,474980,29672,0.444270,0.2891
700000,2692301.976461,475042,29678,0.443732,0.2812
750000,1905430.672899,474966,29614,0.090152,0.2656
800000,2564731.992229,475128,29623,0.378946,0.2812
850000,2778951.272392,475105,29606,0.425105,0.3047
900000,2740820.862152,475219,29559,0.421904,0.2656
950000,2737774.228709,475245,29497,0.427712,0.2969
1000000,2023544.537185,475229,29529,0.096837,0.2969
1050000,2547956.108081,475323,29575,0.382694,0.2578
1100000,3683206.469995,475384,29484,0.702827,0.2500
1150000,3855643.477285,475471,29441,0.773071,0.2734
1200000,3332504.172158,475356,29565,0.669994,0.2578
1250000,3030487.632113,475310,29565,0.458119,0.3516
1300000,2966138.229886,475396,29665,0.415844,0.2734
1350000,2962984.285881,475332,29761,0.386096,0.3125
1400000,3682214.886107,475165,29798,0.660750,0.3125
1450000,1891064.348268,475188,29785,0.350412,0.2734
1500000,2527471.205879,475258,29693,0.278107,0.2500
1550000,2423908.803014,475260,29762,0.235010,0.2812
1600000,2820597.715921,475210,29729,0.520131,0.2891
1650000,2110764.744205,475074,29763,0.150972,0.2734
1700000,2116264.508989,475231,29743,0.152341,0.3047
1750000,2782713.514740,475218,29744,0.416382,0.2578
1800000,2728405.625507,475222,29764,0.492956,0.3828
1850000,2296894.869830,475185,29694,0.317341,0.2656
1900000,2550444.317585,475237,29548,0.409423,0.3438
1950000,2610884.788186,475221,29584,0.526335,0.3125
2000000,2611094.879005,475164,29681,0.526139,0.3203
2050000,2619450.502243,475112,29661,0.531393,0.3203
2100000,2595592.741502,475137,29676,0.435024,0.3047
2150000,2212765.183556,475248,29670,0.153130,0.3047
2200000,2080198.591841,475168,29703,0.117163,0.3047
2250000,2287396.472634,475078,29739,0.192884,0.2578
2300000,3275622.238188,475317,29573,0.572811,0.3125
2350000,3132519.042507,475387,29639,0.655248,0.2578
2400000,3125293.942911,475415,29653,0.654874,0.3438
2450000,3409469.463170,475348,29654,0.751986,0.2891
2500000,2710695.577014,475532,29520,0.553213,0.3203
2550000,3401728.035526,475344,29632,0.751603,0.3359
2600000,3383059.852549,475306,29688,0.743835,0.3984
2650000,3508815.843557,475372,29705,0.756691,0.2891
2700000,3255078.794447,475456,29733,0.700871,0.3516
2750000,3138236.745053,475570,29730,0.674465,0.2969
2800000,2786451.273371,475637,29597,0.521059,0.2578
