step,rg2,perim,cycles,asph,movfrac
50000,2749556.054202,477861,29034,0.221607,0.3125
100000,2619992.215219,477917,29018,0.192558,0.2969
150000,4314109.722789,477898,29119,0.826326,0.3281
200000,4354537.172965,477714,29193,0.830647,0.2891
250000,3327220.880823,477692,29203,0.594816,0.3125
300000,2709613.941662,477721,29118,0.201382,0.3047
350000,2923470.755583,477670,29109,0.298114,0.2812
400000,2736471.468810,477584,29128,0.191122,0.2969
450000,3100718.894371,477467,29096,0.328280,0.3203
500000,4469144.364198,477505,29109,0.845827,0.2656
550000,4491830.932081,477577,29106,0.854664,0.2188
600000,4508240.934808,477470,29185,0.852280,0.2734
650000,2550487.245497,477440,29215,0.131044,0.2500
700000,1753219.191258,477388,29259,0.017653,0.2578
750000,1762193.887018,477459,29347,0.017281,0.3516
800000,2977219.824763,477623,29277,0.550206,0.3203
850000,2955568.628404,477591,29333,0.548125,0.2891
900000,2531645.948311,477628,29302,0.357300,0.2656
950000,2464893.108457,477643,29288,0.344259,0.3359
1000000,2691336.599171,477551,29328,0.504784,0.2656
1050000,3723257.047651,477476,29315,0.772560,0.2578
1100000,2804307.075498,477425,29338,0.179804,0.3438
1150000,2832988.692771,477368,29350,0.183888,0.3203
1200000,2268160.947761,477328,29439,0.342054,0.2969
1250000,2191104.618046,477440,29466,0.323740,0.2656
1300000,2241268.023284,477449,29477,0.331668,0.2812
1350000,1881426.173479,477393,29491,0.227883,0.3906
1400000,1834398.639784,477454,29445,0.214069,0.2812
1450000,2308435.515781,477513,29463,0.323282,0.2891
1500000,2039540.621815,477493,29516,0.242361,0.2500
1550000,2186980.614556,477479,29472,0.260740,0.2891
1600000,2179127.488963,477422,29385,0.271301,0.2969
1650000,2168508.373908,477420,29324,0.267027,0.3047
1700000,3064318.014019,477547,29209,0.452528,0.3672
1750000,3160198.252046,477516,29159,0.433619,0.3203
1800000,2967840.748879,477566,29128,0.480324,0.2500
1850000,2995160.169709,477544,29192,0.429951,0.2734
1900000,3876388.284367,477551,29123,0.504861,0.2266
1950000,3880846.304044,477516,29175,0.505242,0.3125
2000000,3832151.094480,477557,29110,0.525606,0.2656
2050000,4346667.165001,477465,29096,0.687558,0.2109
2100000,4330381.513202,477455,29216,0.695203,0.2969
2150000,3366908.640075,477392,29233,0.383370,0.2656
2200000,2763318.982249,477477,29136,0.245683,0.2656
2250000,2765349.354468,477354,29291,0.263759,0.2188
2300000,2975003.217743,477265,29285,0.212354,0.2969
2350000,3827255.145028,477318,29290,0.591426,0.2578
2400000,3776676.695468,477522,29258,0.683050,0.2891
2450000,3454630.397733,477354,29269,0.561265,0.3203
2500000,3993492.946902,477276,29339,0.769844,0.3281
2550000,3746939.981776,477286,29318,0.697911,0.2812
2600000,3381096.795164,477416,29103,0.612254,0.3438
2650000,3314124.439476,477400,29143,0.330564,0.3828
2700000,3474547.513706,477518,29072,0.658944,0.3359
2750000,3274467.397262,477653,29082,0.641334,0.3047
2800000,3449184.150583,477716,29033,0.674820,0.2891
2850000,4815018.185995,477540,29195,0.713389,0.2422
2900000,3916664.105855,477333,29286,0.442125,0.2656
2950000,3651364.788033,477463,29179,0.456521,0.3672
3000000,3452131.484586,477508,29017,0.515674,0.3047
3050000,3481606.504205,477431,29139,0.515499,0.2656
3100000,3496287.891106,477315,29197,0.514055,0.2891
3150000,4353497.842882,477239,29178,0.797421,0.2734
3200000,4264216.006237,477268,29144,0.746655,0.3203
3250000,4440574.243375,477135,29182,0.751310,0.2109
3300000,4384657.674635,477002,29235,0.737803,0.2969
3350000,3501461.895241,477008,29265,0.415195,0.2109
