step,rg2,perim,cycles,asph,movfrac
50000,3685759.097757,477922,29452,0.279776,0.2891
100000,3203603.652664,477896,29379,0.297653,0.2422
150000,3376637.736283,477899,29363,0.405522,0.3281
200000,3374979.867558,478099,29258,0.401463,0.3047
250000,3762839.655578,478034,29232,0.248109,0.2188
300000,3107245.928026,477972,29198,0.210107,0.2578
350000,2425450.040378,477937,29143,0.016927,0.3828
400000,2486272.341432,477813,29088,0.039832,0.2812
450000,3062614.075781,477880,29113,0.268687,0.3047
500000,3040786.224684,477891,28983,0.267755,0.2969
550000,3399672.330116,478009,28953,0.395323,0.2656
600000,3882322.181702,478031,28912,0.432762,0.2812
650000,4146594.223242,477795,29022,0.450723,0.3516
700000,3876407.897694,477730,28947,0.234809,0.2500
750000,3840916.557450,477762,28974,0.298173,0.2812
800000,3119236.230108,477961,29022,0.250866,0.2266
850000,3451698.738557,477877,29041,0.281562,0.2109
900000,3661407.017621,477737,29119,0.360887,0.2969
950000,3258788.926716,477852,29122,0.181059,0.2422
1000000,2269504.943637,477661,29147,0.044558,0.2734
1050000,3045786.433820,477819,29127,0.407620,0.2734
1100000,2886374.464549,477861,29170,0.243491,0.3359
1150000,3337516.095409,477782,29089,0.556750,0.2500
1200000,3338486.702759,477712,29103,0.593131,0.2812
1250000,3050347.278849,477768,29136,0.296136,0.2812
1300000,3045236.226131,477739,29140,0.292610,0.3047
1350000,2963834.833877,477853,29168,0.225367,0.2266
1400000,3296157.901109,477784,29158,0.509171,0.2891
1450000,2391566.369037,477998,29126,0.306193,0.3125
1500000,2866754.245958,477829,29191,0.322128,0.2656
1550000,2946999.997662,477783,29161,0.305147,0.3125
1600000,2912073.226694,477920,29072,0.365334,0.3516
1650000,2917375.727231,477818,29063,0.364187,0.2422
1700000,2594964.115530,477873,29002,0.224510,0.3203
1750000,2942171.456817,477938,28916,0.241174,0.2891
1800000,2269583.947251,477970,28865,0.196033,0.2656
1850000,2789254.897045,477925,28850,0.532031,0.3359
1900000,2876893.151467,477924,28946,0.611927,0.2812
1950000,2556652.595176,477824,29073,0.610450,0.3047
2000000,2996670.004371,477749,29088,0.221957,0.3594
2050000,3265445.681953,477892,29063,0.711103,0.3438
2100000,3236361.119269,477945,28982,0.717448,0.3359
2150000,3243001.710969,478117,28909,0.642295,0.3125
2200000,2857453.880594,478132,28878,0.146777,0.3047
2250000,2733670.662424,477997,28951,0.147850,0.2969
2300000,2771615.586774,477932,28974,0.138323,0.2812
2350000,2503851.575549,477808,28965,0.431992,0.3594
2400000,2180651.863803,477855,29012,0.057018,0.3672
2450000,2780892.537588,478015,28979,0.236971,0.3438
2500000,2675364.418261,477887,29000,0.441169,0.3125
2550000,3020955.668045,477949,28896,0.443386,0.2812
2600000,2688822.969629,477879,29014,0.463478,0.2500
2650000,2177910.133506,477980,29030,0.037540,0.2891
2700000,2176178.083931,477916,29085,0.036972,0.3750
2750000,2170453.862408,477875,29120,0.033269,0.2656
2800000,2215313.128016,478118,28945,0.045635,0.2422
2850000,2696003.965595,478084,28916,0.087557,0.3281
2900000,2689437.575222,477983,28936,0.134394,0.3125
2950000,2806655.427573,477947,28942,0.147388,0.2734
3000000,2620762.371705,477938,28953,0.100028,0.2031
3050000,2772280.828289,477841,28982,0.115409,0.3203
3100000,2691247.625227,477776,29061,0.089639,0.3047
3150000,2387651.672338,477807,29049,0.105491,0.3359
3200000,2799680.560229,477575,29101,0.192437,0.3516
3250000,2975479.396007,477788,29046,0.095826,0.3828
3300000,2539771.120710,477892,29176,0.162064,0.2500
3350000,2681191.498165,477831,29251,0.117734,0.3047
3400000,2668841.892214,477745,29243,0.116158,0.2812
3450000,2623869.225149,477693,29282,0.141984,0.2344
3500000,2606492.655039,477644,29308,0.221686,0.3047
3550000,2617512.628852,477598,29385,0.214788,0.3125
3600000,2704906.301222,477715,29294,0.138272,0.3906
3650000,2655072.681005,477725,29270,0.245153,0.2656
3700000,2720698.838508,477839,29119,0.263839,0.2578
3750000,2753148.632174,477887,29103,0.087917,0.2578
3800000,2752005.275989,477792,29139,0.087532,0.2500
3850000,2693452.908962,477818,29145,0.096513,0.2578
3900000,2808994.271568,477849,29157,0.139933,0.2500
3950000,2734296.530140,477966,29116,0.145743,0.2656
4000000,2746938.079719,477964,28995,0.157352,0.2578
4050000,3033896.402393,478089,28890,0.128015,0.3281
4100000,2875232.092502,478139,28859,0.119916,0.2734
4150000,2913309.074965,478034,28919,0.125993,0.2812
4200000,2899591.171674,477926,28988,0.131157,0.3047
4250000,2754298.203927,477756,29054,0.206946,0.3047
4300000,2762650.124327,477711,28980,0.195038,0.3203
4350000,2777222.412734,477705,28875,0.201742,0.3594
4400000,2464273.903167,477754,28929,0.345431,0.2734
4450000,2267275.219344,477792,28896,0.238793,0.3047
4500000,2328734.214280,477788,28893,0.161621,0.2734
4550000,2328655.812365,477771,28956,0.161616,0.3125
4600000,2144265.673357,477750,28968,0.015299,0.3828
4650000,2640034.364417,477873,28919,0.042705,0.3438
4700000,2707031.446189,477949,28980,0.262960,0.2500
4750000,2660044.402109,478009,28997,0.318249,0.2812
4800000,2660898.408273,478040,29002,0.318883,0.2656
4850000,2329076.337284,477990,28975,0.288562,0.2734
4900000,2321099.516861,477960,28915,0.287071,0.3438
4950000,2385030.192765,477944,28919,0.178876,0.3125
5000000,3093632.270752,478024,28955,0.046845,0.2500
5050000,3119574.390297,478130,28988,0.297032,0.3359
5100000,3129908.909497,478073,29043,0.247869,0.3203
5150000,3115557.396561,477970,29154,0.279298,0.3672
5200000,2780482.723207,477878,29142,0.178063,0.2812
5250000,2809247.657665,477959,29128,0.210713,0.2500
5300000,2776004.377955,477957,29012,0.297311,0.3047
5350000,2392690.243887,478009,28858,0.277107,0.2812
5400000,3161392.609741,477903,28867,0.041409,0.2812
5450000,2745518.997326,477929,28945,0.125098,0.2812
5500000,3203672.641284,477985,28960,0.067288,0.2422
5550000,3218703.380683,478119,29036,0.062683,0.2578
5600000,3372093.507450,478102,29078,0.005035,0.2734
5650000,3407160.413910,478222,28962,0.003277,0.2812
5700000,3443718.672671,478314,28930,0.008320,0.2969
5750000,3245729.040495,478238,29032,0.035196,0.2500
5800000,3332990.681968,478271,29048,0.166884,0.2891
5850000,3221696.736236,478313,28995,0.177820,0.3203
5900000,3049547.861728,478342,29033,0.173541,0.2891
5950000,3169977.954393,478353,29016,0.064785,0.2656
6000000,2550367.025459,478370,29119,0.180634,0.3516
6050000,2521098.293741,478360,29153,0.182160,0.3281
6100000,3036104.536003,478241,29218,0.050128,0.2812
6150000,2892476.637856,478155,29241,0.061924,0.2969
6200000,2850508.011370,478195,29184,0.171681,0.2578
6250000,2298898.275391,478241,29169,0.035973,0.2578
6300000,2365306.785604,478118,29207,0.010035,0.3438
6350000,2472742.261976,478082,29204,0.044253,0.2422
6400000,2122156.720273,478032,29231,0.039053,0.3047
6450000,2678405.208306,478054,29232,0.148791,0.3047
6500000,2933091.532799,478085,29282,0.117674,0.2344
6550000,3001095.378037,478025,29314,0.124619,0.3125
6600000,2783328.354572,478117,29290,0.270986,0.2734
6650000,2821233.615688,478230,29167,0.265617,0.3047
6700000,2856094.548947,478183,29133,0.152602,0.2266
6750000,2035108.642129,478134,29049,0.149467,0.3281
6800000,2216899.974752,478226,29024,0.479502,0.3047
6850000,2457360.111051,478218,29035,0.595903,0.3125
6900000,2608052.172501,478270,29035,0.494403,0.2578
6950000,2358053.375217,478373,29074,0.415961,0.2344
7000000,2601513.049690,478271,29092,0.544316,0.2891
7050000,2673541.687513,478234,29006,0.557153,0.3047
7100000,2684616.934269,478271,29064,0.549922,0.4062
7150000,2639909.928314,478181,29138,0.551304,0.2031
7200000,2637646.542513,478199,29087,0.550573,0.2578
7250000,2223034.017230,478171,29109,0.088187,0.3359
7300000,2140667.747569,478138,29121,0.085097,0.3672
7350000,2086431.585170,478207,29118,0.057138,0.3438
7400000,2090157.858234,478274,29065,0.064012,0.2969
7450000,2087565.166970,478333,29003,0.076497,0.2891
7500000,2073401.432833,478357,28957,0.074440,0.2578
7550000,2301058.787170,478376,28986,0.033685,0.2266
7600000,2252094.549499,478260,29074,0.023816,0.3203
7650000,2302964.697514,478303,29020,0.276928,0.2812
